,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
35592,STATE - WEST BENGAL,Forestry and logging,18607,15418,3189,13649,11191,2458,4958,4227,731,11383,5019,6364,10350,4392,5958,1033,627,406,29990,4.834744433991847,22.65423406060606,82.20022463636361
35593,STATE - WEST BENGAL,Silviculture and other forestry activities,2958,2569,389,2080,1792,288,878,777,101,1109,599,510,947,493,454,162,106,56,4067,6.604113110539846,22.65423406060606,82.20022463636361
35594,STATE - WEST BENGAL,Silviculture and other forestry activities,2958,2569,389,2080,1792,288,878,777,101,1109,599,510,947,493,454,162,106,56,4067,6.604113110539846,22.65423406060606,82.20022463636361
35595,STATE - WEST BENGAL,Logging,8695,7284,1411,6636,5464,1172,2059,1820,239,6406,2873,3533,5776,2513,3263,630,360,270,15101,5.162296243798724,22.65423406060606,82.20022463636361
35596,STATE - WEST BENGAL,Logging,8695,7284,1411,6636,5464,1172,2059,1820,239,6406,2873,3533,5776,2513,3263,630,360,270,15101,5.162296243798724,22.65423406060606,82.20022463636361
35597,STATE - WEST BENGAL,Gathering of non-wood forest products,2879,1926,953,2389,1589,800,490,337,153,3311,1172,2139,3148,1083,2065,163,89,74,6190,2.0209863588667365,22.65423406060606,82.20022463636361
35598,STATE - WEST BENGAL,Gathering of non-wood forest products,2879,1926,953,2389,1589,800,490,337,153,3311,1172,2139,3148,1083,2065,163,89,74,6190,2.0209863588667365,22.65423406060606,82.20022463636361
35599,STATE - WEST BENGAL,Support services to forestry,4075,3639,436,2544,2346,198,1531,1293,238,557,375,182,479,303,176,78,72,6,4632,8.346330275229358,22.65423406060606,82.20022463636361
35600,STATE - WEST BENGAL,Support services to forestry,4075,3639,436,2544,2346,198,1531,1293,238,557,375,182,479,303,176,78,72,6,4632,8.346330275229358,22.65423406060606,82.20022463636361
35601,STATE - WEST BENGAL,Marine fishing,39436,37669,1767,33383,31843,1540,6053,5826,227,10930,8959,1971,10109,8213,1896,821,746,75,50366,21.318053197509904,22.65423406060606,82.20022463636361
35602,STATE - WEST BENGAL,Freash water fishing,48900,47374,1526,39149,37872,1277,9751,9502,249,11223,9611,1612,10002,8452,1550,1221,1159,62,60123,31.044560943643518,22.65423406060606,82.20022463636361
35603,STATE - WEST BENGAL,Aquaculture,31373,29901,1472,24495,23357,1138,6878,6544,334,7745,6411,1334,7051,5801,1250,694,610,84,39118,20.31317934782609,22.65423406060606,82.20022463636361
35604,STATE - WEST BENGAL,Marine aquaculture,26512,25232,1280,21463,20411,1052,5049,4821,228,6958,5726,1232,6416,5259,1157,542,467,75,33470,19.7125,22.65423406060606,82.20022463636361
35605,STATE - WEST BENGAL,Freshwater aquaculture,4861,4669,192,3032,2946,86,1829,1723,106,787,685,102,635,542,93,152,143,9,5648,24.31770833333333,22.65423406060606,82.20022463636361
35606,STATE - WEST BENGAL,Mining of coal and lignite,70294,64336,5958,15896,14328,1568,54398,50008,4390,3569,3023,546,1041,814,227,2528,2209,319,73863,10.798254447801275,22.65423406060606,82.20022463636361
35607,STATE - WEST BENGAL,Mining of hard coal,69019,63439,5580,14861,13644,1217,54158,49795,4363,3399,2920,479,887,716,171,2512,2204,308,72418,11.36899641577061,22.65423406060606,82.20022463636361
35608,STATE - WEST BENGAL,Mining of hard coal,69019,63439,5580,14861,13644,1217,54158,49795,4363,3399,2920,479,887,716,171,2512,2204,308,72418,11.36899641577061,22.65423406060606,82.20022463636361
35609,STATE - WEST BENGAL,Mining of lignite,1275,897,378,1035,684,351,240,213,27,170,103,67,154,98,56,16,5,11,1445,2.373015873015873,22.65423406060606,82.20022463636361
35610,STATE - WEST BENGAL,Mining of lignite,1275,897,378,1035,684,351,240,213,27,170,103,67,154,98,56,16,5,11,1445,2.373015873015873,22.65423406060606,82.20022463636361
35611,STATE - WEST BENGAL,Extraction of crude petroleum and natural gas,6909,6010,899,4751,4067,684,2158,1943,215,1896,1403,493,1746,1261,485,150,142,8,8805,6.685205784204672,22.65423406060606,82.20022463636361
35612,STATE - WEST BENGAL,Extraction of crude petroleum,6706,5818,888,4670,3994,676,2036,1824,212,1871,1378,493,1731,1246,485,140,132,8,8577,6.551801801801802,22.65423406060606,82.20022463636361
35613,STATE - WEST BENGAL,Extraction of crude petroleum,6706,5818,888,4670,3994,676,2036,1824,212,1871,1378,493,1731,1246,485,140,132,8,8577,6.551801801801802,22.65423406060606,82.20022463636361
35614,STATE - WEST BENGAL,Extraction of natural gas,203,192,11,81,73,8,122,119,3,25,25,0,15,15,0,10,10,0,228,17.454545454545453,22.65423406060606,82.20022463636361
35615,STATE - WEST BENGAL,Extraction of natural gas,203,192,11,81,73,8,122,119,3,25,25,0,15,15,0,10,10,0,228,17.454545454545453,22.65423406060606,82.20022463636361
35616,STATE - WEST BENGAL,Mining of metal ores,365,342,23,222,212,10,143,130,13,60,56,4,42,38,4,18,18,0,425,14.869565217391305,22.65423406060606,82.20022463636361
35617,STATE - WEST BENGAL,Mining of iron ores,152,144,8,94,91,3,58,53,5,30,28,2,18,16,2,12,12,0,182,18,22.65423406060606,82.20022463636361
35618,STATE - WEST BENGAL,Mining of iron ores,152,144,8,94,91,3,58,53,5,30,28,2,18,16,2,12,12,0,182,18,22.65423406060606,82.20022463636361
35619,STATE - WEST BENGAL,Mining of non-ferrous metal ores,213,198,15,128,121,7,85,77,8,30,28,2,24,22,2,6,6,0,243,13.2,22.65423406060606,82.20022463636361
35620,STATE - WEST BENGAL,Mining of other non-ferrous metal ores,213,198,15,128,121,7,85,77,8,30,28,2,24,22,2,6,6,0,243,13.2,22.65423406060606,82.20022463636361
35621,STATE - WEST BENGAL,Other mining and quarrying,53917,45548,8369,44290,37711,6579,9627,7837,1790,17098,12066,5032,14666,10581,4085,2432,1485,947,71015,5.4424662444736525,22.65423406060606,82.20022463636361
35622,STATE - WEST BENGAL,"Quarrying of stone, sand and clay",39353,32906,6447,32021,27203,4818,7332,5703,1629,13052,9169,3883,11094,8019,3075,1958,1150,808,52405,5.104079416783,22.65423406060606,82.20022463636361
35623,STATE - WEST BENGAL,"Quarrying of stone, sand and clay",39353,32906,6447,32021,27203,4818,7332,5703,1629,13052,9169,3883,11094,8019,3075,1958,1150,808,52405,5.104079416783,22.65423406060606,82.20022463636361
35624,STATE - WEST BENGAL,Mining and quarrying n.e.c.,14564,12642,1922,12269,10508,1761,2295,2134,161,4046,2897,1149,3572,2562,1010,474,335,139,18610,6.577523413111343,22.65423406060606,82.20022463636361
35625,STATE - WEST BENGAL,Mining of chemical and fertilizer minerals,75,72,3,66,66,0,9,6,3,9,9,0,9,9,0,0,0,0,84,24,22.65423406060606,82.20022463636361
35626,STATE - WEST BENGAL,Extraction and agglomeration of peat,6251,5491,760,5124,4420,704,1127,1071,56,1749,1293,456,1656,1210,446,93,83,10,8000,7.225,22.65423406060606,82.20022463636361
35627,STATE - WEST BENGAL,Extraction of salt,665,585,80,614,536,78,51,49,2,230,129,101,228,129,99,2,0,2,895,7.3125,22.65423406060606,82.20022463636361
35628,STATE - WEST BENGAL,Other mining and quarrying n.e.c.,7573,6494,1079,6465,5486,979,1108,1008,100,2058,1466,592,1679,1214,465,379,252,127,9631,6.018535681186283,22.65423406060606,82.20022463636361
35629,STATE - WEST BENGAL,Mining support service activities,968,884,84,467,417,50,501,467,34,174,152,22,130,111,19,44,41,3,1142,10.523809523809524,22.65423406060606,82.20022463636361
35630,STATE - WEST BENGAL,Support activities for petroleum and natural gas mining,798,748,50,324,308,16,474,440,34,116,111,5,84,82,2,32,29,3,914,14.96,22.65423406060606,82.20022463636361
35631,STATE - WEST BENGAL,Support activities for petroleum and natural gas mining,798,748,50,324,308,16,474,440,34,116,111,5,84,82,2,32,29,3,914,14.96,22.65423406060606,82.20022463636361
35632,STATE - WEST BENGAL,Support activities for other mining and quarrying,170,136,34,143,109,34,27,27,0,58,41,17,46,29,17,12,12,0,228,4,22.65423406060606,82.20022463636361
35633,STATE - WEST BENGAL,Support activities for other mining and quarrying,170,136,34,143,109,34,27,27,0,58,41,17,46,29,17,12,12,0,228,4,22.65423406060606,82.20022463636361
35634,STATE - WEST BENGAL,Processing and preserving of meat,2959,2337,622,1822,1295,527,1137,1042,95,2874,604,2270,2640,468,2172,234,136,98,5833,3.757234726688103,22.65423406060606,82.20022463636361
35635,STATE - WEST BENGAL,Processing and preserving of meat,2959,2337,622,1822,1295,527,1137,1042,95,2874,604,2270,2640,468,2172,234,136,98,5833,3.757234726688103,22.65423406060606,82.20022463636361
35636,STATE - WEST BENGAL,"Processing and preserving of fish, crustaceans and molluscs",2433,2179,254,1716,1534,182,717,645,72,1463,882,581,1313,760,553,150,122,28,3896,8.578740157480315,22.65423406060606,82.20022463636361
