,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
count,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481,191481
mean,694.1693797295816,565.6725471456698,128.49683258391173,305.49586120816167,244.35621288796278,61.13964832019887,388.6735185214199,321.316334257707,67.35718426371285,142.89368657986955,79.73205696648753,63.161629613382004,98.30314234832699,51.29777366945023,47.005368678876756,44.59054423154255,28.434283297037304,16.15626093450525,837.0630663094511,10.31234619580618,22.655590607001294,82.19936224925046
std,3675.0907436907155,3198.2882610071715,745.1742192033536,1690.9282583826798,1436.88058737092,412.1394280531477,2309.91426977462,2028.588740472209,426.1294430315381,836.5487078243619,466.33466162473786,463.33415085655895,650.1345549934023,329.12974071116713,389.74406733405937,271.4681200336881,181.85974101691565,121.58116757435117,4277.598289770972,15.479091776421726,0.40741246395114855,0.45362750642576266
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.900373,72.636867
25%,6,5,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2,22.65423406060606,82.20022463636361
50%,26,21,3,10,8,0,12,8,0,4,2,0,1,0,0,0,0,0,32,4.593939393939394,22.65423406060606,82.20022463636361
75%,173,130,24,66,50,8,78,60,12,26,17,6,12,8,3,8,6,2,212,12,22.65423406060606,82.20022463636361
max,120648,106000,25075,60616,49988,13066,76060,65687,13673,29777,16942,16848,21576,11070,14258,10691,6366,5375,147000,106.33333333333331,34.299959,94.216667
