,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
48713,STATE - NCT OF DELHI,Support services to forestry,24,24,0,0,0,0,24,24,0,3,0,3,0,0,0,3,0,3,27,24,22.65423406060606,82.20022463636361
48714,STATE - NCT OF DELHI,Support services to forestry,24,24,0,0,0,0,24,24,0,3,0,3,0,0,0,3,0,3,27,24,22.65423406060606,82.20022463636361
48715,STATE - NCT OF DELHI,Fishing and aquaculture,24,20,4,4,3,1,20,17,3,5,5,0,0,0,0,5,5,0,29,5,22.65423406060606,82.20022463636361
48716,STATE - NCT OF DELHI,Fishing,6,6,0,0,0,0,6,6,0,3,3,0,0,0,0,3,3,0,9,6,22.65423406060606,82.20022463636361
48717,STATE - NCT OF DELHI,Marine fishing,6,6,0,0,0,0,6,6,0,3,3,0,0,0,0,3,3,0,9,6,22.65423406060606,82.20022463636361
48718,STATE - NCT OF DELHI,Aquaculture,18,14,4,4,3,1,14,11,3,2,2,0,0,0,0,2,2,0,20,3.5,22.65423406060606,82.20022463636361
48719,STATE - NCT OF DELHI,Marine aquaculture,8,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,22.65423406060606,82.20022463636361
48720,STATE - NCT OF DELHI,Freshwater aquaculture,10,6,4,4,3,1,6,3,3,2,2,0,0,0,0,2,2,0,12,1.5,22.65423406060606,82.20022463636361
48721,STATE - NCT OF DELHI,Mining of coal and lignite,13,9,4,0,0,0,13,9,4,0,0,0,0,0,0,0,0,0,13,2.25,22.65423406060606,82.20022463636361
48722,STATE - NCT OF DELHI,Mining of hard coal,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
48723,STATE - NCT OF DELHI,Mining of hard coal,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
48724,STATE - NCT OF DELHI,Mining of lignite,11,9,2,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,11,4.5,22.65423406060606,82.20022463636361
48725,STATE - NCT OF DELHI,Mining of lignite,11,9,2,0,0,0,11,9,2,0,0,0,0,0,0,0,0,0,11,4.5,22.65423406060606,82.20022463636361
48726,STATE - NCT OF DELHI,Extraction of crude petroleum and natural gas,12,9,3,0,0,0,12,9,3,0,0,0,0,0,0,0,0,0,12,3,22.65423406060606,82.20022463636361
48727,STATE - NCT OF DELHI,Extraction of crude petroleum,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,22.65423406060606,82.20022463636361
48728,STATE - NCT OF DELHI,Extraction of crude petroleum,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,22.65423406060606,82.20022463636361
48729,STATE - NCT OF DELHI,Extraction of natural gas,9,6,3,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,9,2,22.65423406060606,82.20022463636361
48730,STATE - NCT OF DELHI,Extraction of natural gas,9,6,3,0,0,0,9,6,3,0,0,0,0,0,0,0,0,0,9,2,22.65423406060606,82.20022463636361
48731,STATE - NCT OF DELHI,Mining of metal ores,59,56,3,0,0,0,59,56,3,0,0,0,0,0,0,0,0,0,59,18.666666666666668,22.65423406060606,82.20022463636361
48732,STATE - NCT OF DELHI,Mining of iron ores,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,22.65423406060606,82.20022463636361
48733,STATE - NCT OF DELHI,Mining of iron ores,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,22.65423406060606,82.20022463636361
48734,STATE - NCT OF DELHI,Mining of non-ferrous metal ores,56,53,3,0,0,0,56,53,3,0,0,0,0,0,0,0,0,0,56,17.666666666666668,22.65423406060606,82.20022463636361
48735,STATE - NCT OF DELHI,Mining of other non-ferrous metal ores,56,53,3,0,0,0,56,53,3,0,0,0,0,0,0,0,0,0,56,17.666666666666668,22.65423406060606,82.20022463636361
48736,STATE - NCT OF DELHI,Other mining and quarrying,41,39,2,0,0,0,41,39,2,3,0,3,0,0,0,3,0,3,44,19.5,22.65423406060606,82.20022463636361
48737,STATE - NCT OF DELHI,"Quarrying of stone, sand and clay",32,30,2,0,0,0,32,30,2,3,0,3,0,0,0,3,0,3,35,15,22.65423406060606,82.20022463636361
48738,STATE - NCT OF DELHI,"Quarrying of stone, sand and clay",32,30,2,0,0,0,32,30,2,3,0,3,0,0,0,3,0,3,35,15,22.65423406060606,82.20022463636361
48739,STATE - NCT OF DELHI,Mining and quarrying n.e.c.,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,22.65423406060606,82.20022463636361
48740,STATE - NCT OF DELHI,Other mining and quarrying n.e.c.,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,9,22.65423406060606,82.20022463636361
48741,STATE - NCT OF DELHI,Mining support service activities,8,6,2,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,8,3,22.65423406060606,82.20022463636361
