,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
76741,STATE - MAHARASHTRA,Silviculture and other forestry activities,426,325,101,224,171,53,202,154,48,21,9,12,19,9,10,2,0,2,447,3.217821782178218,22.65423406060606,82.20022463636361
76742,STATE - MAHARASHTRA,Logging,618,474,144,249,195,54,369,279,90,277,144,133,159,77,82,118,67,51,895,3.2916666666666665,22.65423406060606,82.20022463636361
76743,STATE - MAHARASHTRA,Logging,618,474,144,249,195,54,369,279,90,277,144,133,159,77,82,118,67,51,895,3.2916666666666665,22.65423406060606,82.20022463636361
76744,STATE - MAHARASHTRA,Gathering of non-wood forest products,199,132,67,135,86,49,64,46,18,97,29,68,94,26,68,3,3,0,296,1.9701492537313432,22.65423406060606,82.20022463636361
76745,STATE - MAHARASHTRA,Gathering of non-wood forest products,199,132,67,135,86,49,64,46,18,97,29,68,94,26,68,3,3,0,296,1.9701492537313432,22.65423406060606,82.20022463636361
76746,STATE - MAHARASHTRA,Support services to forestry,2347,2042,305,1144,968,176,1203,1074,129,145,120,25,86,77,9,59,43,16,2492,6.695081967213115,22.65423406060606,82.20022463636361
76747,STATE - MAHARASHTRA,Support services to forestry,2347,2042,305,1144,968,176,1203,1074,129,145,120,25,86,77,9,59,43,16,2492,6.695081967213115,22.65423406060606,82.20022463636361
76748,STATE - MAHARASHTRA,Fishing and aquaculture,578,503,75,289,260,29,289,243,46,72,60,12,42,36,6,30,24,6,650,6.706666666666667,22.65423406060606,82.20022463636361
76749,STATE - MAHARASHTRA,Fishing,546,476,70,273,247,26,273,229,44,71,59,12,41,35,6,30,24,6,617,6.8,22.65423406060606,82.20022463636361
76750,STATE - MAHARASHTRA,Marine fishing,221,184,37,46,43,3,175,141,34,37,27,10,13,9,4,24,18,6,258,4.972972972972973,22.65423406060606,82.20022463636361
76751,STATE - MAHARASHTRA,Freash water fishing,325,292,33,227,204,23,98,88,10,34,32,2,28,26,2,6,6,0,359,8.848484848484848,22.65423406060606,82.20022463636361
76752,STATE - MAHARASHTRA,Aquaculture,32,27,5,16,13,3,16,14,2,1,1,0,1,1,0,0,0,0,33,5.4,22.65423406060606,82.20022463636361
76753,STATE - MAHARASHTRA,Marine aquaculture,8,8,0,4,4,0,4,4,0,1,1,0,1,1,0,0,0,0,9,8,22.65423406060606,82.20022463636361
