,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
94774,STATE - KARNATAKA,"Hunting, trapping and related service activities",9,9,0,9,9,0,0,0,0,12,12,0,12,12,0,0,0,0,21,9,22.65423406060606,82.20022463636361
94775,STATE - KARNATAKA,"Hunting, trapping and related service activities",9,9,0,9,9,0,0,0,0,12,12,0,12,12,0,0,0,0,21,9,22.65423406060606,82.20022463636361
94776,STATE - KARNATAKA,Forestry and logging,5278,4657,621,3828,3361,467,1450,1296,154,1290,958,332,1048,753,295,242,205,37,6568,7.499194847020934,22.65423406060606,82.20022463636361
94777,STATE - KARNATAKA,Silviculture and other forestry activities,177,135,42,115,92,23,62,43,19,35,23,12,33,21,12,2,2,0,212,3.2142857142857144,22.65423406060606,82.20022463636361
94778,STATE - KARNATAKA,Silviculture and other forestry activities,177,135,42,115,92,23,62,43,19,35,23,12,33,21,12,2,2,0,212,3.2142857142857144,22.65423406060606,82.20022463636361
94779,STATE - KARNATAKA,Logging,3445,3017,428,2547,2204,343,898,813,85,1073,779,294,885,626,259,188,153,35,4518,7.049065420560748,22.65423406060606,82.20022463636361
94780,STATE - KARNATAKA,Logging,3445,3017,428,2547,2204,343,898,813,85,1073,779,294,885,626,259,188,153,35,4518,7.049065420560748,22.65423406060606,82.20022463636361
94781,STATE - KARNATAKA,Gathering of non-wood forest products,233,185,48,174,136,38,59,49,10,49,39,10,35,27,8,14,12,2,282,3.8541666666666665,22.65423406060606,82.20022463636361
94782,STATE - KARNATAKA,Gathering of non-wood forest products,233,185,48,174,136,38,59,49,10,49,39,10,35,27,8,14,12,2,282,3.8541666666666665,22.65423406060606,82.20022463636361
94783,STATE - KARNATAKA,Support services to forestry,1423,1320,103,992,929,63,431,391,40,133,117,16,95,79,16,38,38,0,1556,12.815533980582524,22.65423406060606,82.20022463636361
94784,STATE - KARNATAKA,Support services to forestry,1423,1320,103,992,929,63,431,391,40,133,117,16,95,79,16,38,38,0,1556,12.815533980582524,22.65423406060606,82.20022463636361
94785,STATE - KARNATAKA,Fishing and aquaculture,6253,5717,536,5517,5045,472,736,672,64,589,486,103,460,389,71,129,97,32,6842,10.666044776119405,22.65423406060606,82.20022463636361
94786,STATE - KARNATAKA,Fishing,6002,5512,490,5316,4866,450,686,646,40,541,455,86,421,367,54,120,88,32,6543,11.248979591836736,22.65423406060606,82.20022463636361
94787,STATE - KARNATAKA,Marine fishing,4168,4034,134,3777,3663,114,391,371,20,233,218,15,206,200,6,27,18,9,4401,30.104477611940297,22.65423406060606,82.20022463636361
94788,STATE - KARNATAKA,Freash water fishing,1834,1478,356,1539,1203,336,295,275,20,308,237,71,215,167,48,93,70,23,2142,4.151685393258427,22.65423406060606,82.20022463636361
94789,STATE - KARNATAKA,Aquaculture,251,205,46,201,179,22,50,26,24,48,31,17,39,22,17,9,9,0,299,4.456521739130435,22.65423406060606,82.20022463636361
94790,STATE - KARNATAKA,Marine aquaculture,95,73,22,71,67,4,24,6,18,12,3,9,9,0,9,3,3,0,107,3.3181818181818183,22.65423406060606,82.20022463636361
94791,STATE - KARNATAKA,Freshwater aquaculture,156,132,24,130,112,18,26,20,6,36,28,8,30,22,8,6,6,0,192,5.5,22.65423406060606,82.20022463636361
94792,STATE - KARNATAKA,Mining of coal and lignite,99,92,7,82,78,4,17,14,3,9,6,3,6,6,0,3,0,3,108,13.142857142857142,22.65423406060606,82.20022463636361
94793,STATE - KARNATAKA,Mining of hard coal,79,74,5,64,62,2,15,12,3,0,0,0,0,0,0,0,0,0,79,14.8,22.65423406060606,82.20022463636361
94794,STATE - KARNATAKA,Mining of hard coal,79,74,5,64,62,2,15,12,3,0,0,0,0,0,0,0,0,0,79,14.8,22.65423406060606,82.20022463636361
94795,STATE - KARNATAKA,Mining of lignite,20,18,2,18,16,2,2,2,0,9,6,3,6,6,0,3,0,3,29,9,22.65423406060606,82.20022463636361
94796,STATE - KARNATAKA,Mining of lignite,20,18,2,18,16,2,2,2,0,9,6,3,6,6,0,3,0,3,29,9,22.65423406060606,82.20022463636361
94797,STATE - KARNATAKA,Extraction of crude petroleum and natural gas,232,176,56,202,156,46,30,20,10,24,12,12,24,12,12,0,0,0,256,3.142857142857143,22.65423406060606,82.20022463636361
94798,STATE - KARNATAKA,Extraction of crude petroleum,230,174,56,202,156,46,28,18,10,24,12,12,24,12,12,0,0,0,254,3.107142857142857,22.65423406060606,82.20022463636361
94799,STATE - KARNATAKA,Extraction of crude petroleum,230,174,56,202,156,46,28,18,10,24,12,12,24,12,12,0,0,0,254,3.107142857142857,22.65423406060606,82.20022463636361
94800,STATE - KARNATAKA,Extraction of natural gas,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
94801,STATE - KARNATAKA,Extraction of natural gas,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
94802,STATE - KARNATAKA,Mining of metal ores,2677,2345,332,1087,891,196,1590,1454,136,262,210,52,156,128,28,106,82,24,2939,7.063253012048193,22.65423406060606,82.20022463636361
94803,STATE - KARNATAKA,Mining of iron ores,1825,1576,249,846,692,154,979,884,95,149,131,18,90,84,6,59,47,12,1974,6.329317269076305,22.65423406060606,82.20022463636361
94804,STATE - KARNATAKA,Mining of iron ores,1825,1576,249,846,692,154,979,884,95,149,131,18,90,84,6,59,47,12,1974,6.329317269076305,22.65423406060606,82.20022463636361
94805,STATE - KARNATAKA,Mining of non-ferrous metal ores,852,769,83,241,199,42,611,570,41,113,79,34,66,44,22,47,35,12,965,9.265060240963855,22.65423406060606,82.20022463636361
94806,STATE - KARNATAKA,Mining of other non-ferrous metal ores,852,769,83,241,199,42,611,570,41,113,79,34,66,44,22,47,35,12,965,9.265060240963855,22.65423406060606,82.20022463636361
94807,STATE - KARNATAKA,Other mining and quarrying,53824,38907,14917,41207,30019,11188,12617,8888,3729,10034,6032,4002,7462,4398,3064,2572,1634,938,63858,2.608232218274452,22.65423406060606,82.20022463636361
94808,STATE - KARNATAKA,"Quarrying of stone, sand and clay",51832,37426,14406,39594,28832,10762,12238,8594,3644,9762,5847,3915,7218,4239,2979,2544,1608,936,61594,2.5979453005692075,22.65423406060606,82.20022463636361
94809,STATE - KARNATAKA,"Quarrying of stone, sand and clay",51832,37426,14406,39594,28832,10762,12238,8594,3644,9762,5847,3915,7218,4239,2979,2544,1608,936,61594,2.5979453005692075,22.65423406060606,82.20022463636361
94810,STATE - KARNATAKA,Mining and quarrying n.e.c.,1992,1481,511,1613,1187,426,379,294,85,272,185,87,244,159,85,28,26,2,2264,2.898238747553816,22.65423406060606,82.20022463636361
94811,STATE - KARNATAKA,Mining of chemical and fertilizer minerals,17,14,3,11,11,0,6,3,3,0,0,0,0,0,0,0,0,0,17,4.666666666666667,22.65423406060606,82.20022463636361
94812,STATE - KARNATAKA,Extraction and agglomeration of peat,279,220,59,210,168,42,69,52,17,14,12,2,6,6,0,8,6,2,293,3.7288135593220337,22.65423406060606,82.20022463636361
94813,STATE - KARNATAKA,Extraction of salt,232,118,114,218,104,114,14,14,0,48,28,20,48,28,20,0,0,0,280,1.0350877192982455,22.65423406060606,82.20022463636361
94814,STATE - KARNATAKA,Other mining and quarrying n.e.c.,1464,1129,335,1174,904,270,290,225,65,210,145,65,190,125,65,20,20,0,1674,3.370149253731343,22.65423406060606,82.20022463636361
94815,STATE - KARNATAKA,Mining support service activities,66,54,12,60,48,12,6,6,0,0,0,0,0,0,0,0,0,0,66,4.5,22.65423406060606,82.20022463636361
94816,STATE - KARNATAKA,Support activities for petroleum and natural gas mining,12,12,0,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,12,12,22.65423406060606,82.20022463636361
