,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
118968,STATE - TAMIL NADU,Silviculture and other forestry activities,326,251,75,157,139,18,169,112,57,84,66,18,75,57,18,9,9,0,410,3.3466666666666667,22.65423406060606,82.20022463636361
118969,STATE - TAMIL NADU,Logging,11154,8467,2687,8186,6118,2068,2968,2349,619,2468,1811,657,1955,1386,569,513,425,88,13622,3.1510978786751025,22.65423406060606,82.20022463636361
118970,STATE - TAMIL NADU,Logging,11154,8467,2687,8186,6118,2068,2968,2349,619,2468,1811,657,1955,1386,569,513,425,88,13622,3.1510978786751025,22.65423406060606,82.20022463636361
118971,STATE - TAMIL NADU,Gathering of non-wood forest products,118,88,30,46,34,12,72,54,18,29,9,20,26,6,20,3,3,0,147,2.933333333333333,22.65423406060606,82.20022463636361
118972,STATE - TAMIL NADU,Gathering of non-wood forest products,118,88,30,46,34,12,72,54,18,29,9,20,26,6,20,3,3,0,147,2.933333333333333,22.65423406060606,82.20022463636361
118973,STATE - TAMIL NADU,Support services to forestry,1268,1125,143,666,624,42,602,501,101,23,15,8,20,12,8,3,3,0,1291,7.8671328671328675,22.65423406060606,82.20022463636361
118974,STATE - TAMIL NADU,Support services to forestry,1268,1125,143,666,624,42,602,501,101,23,15,8,20,12,8,3,3,0,1291,7.8671328671328675,22.65423406060606,82.20022463636361
118975,STATE - TAMIL NADU,Fishing and aquaculture,7320,6650,670,4829,4412,417,2491,2238,253,690,586,104,404,350,54,286,236,50,8010,9.92537313432836,22.65423406060606,82.20022463636361
118976,STATE - TAMIL NADU,Fishing,6913,6319,594,4628,4243,385,2285,2076,209,644,553,91,370,326,44,274,227,47,7557,10.638047138047138,22.65423406060606,82.20022463636361
118977,STATE - TAMIL NADU,Marine fishing,5864,5387,477,3748,3458,290,2116,1929,187,531,460,71,294,254,40,237,206,31,6395,11.29350104821803,22.65423406060606,82.20022463636361
118978,STATE - TAMIL NADU,Freash water fishing,1049,932,117,880,785,95,169,147,22,113,93,20,76,72,4,37,21,16,1162,7.965811965811966,22.65423406060606,82.20022463636361
118979,STATE - TAMIL NADU,Aquaculture,407,331,76,201,169,32,206,162,44,46,33,13,34,24,10,12,9,3,453,4.355263157894737,22.65423406060606,82.20022463636361
118980,STATE - TAMIL NADU,Marine aquaculture,235,198,37,79,69,10,156,129,27,20,12,8,14,6,8,6,6,0,255,5.351351351351352,22.65423406060606,82.20022463636361
118981,STATE - TAMIL NADU,Freshwater aquaculture,172,133,39,122,100,22,50,33,17,26,21,5,20,18,2,6,3,3,198,3.41025641025641,22.65423406060606,82.20022463636361
118982,STATE - TAMIL NADU,Mining of coal and lignite,5948,5570,378,1499,1431,68,4449,4139,310,340,297,43,268,237,31,72,60,12,6288,14.735449735449736,22.65423406060606,82.20022463636361
118983,STATE - TAMIL NADU,Mining of hard coal,858,822,36,404,396,8,454,426,28,115,93,22,96,78,18,19,15,4,973,22.83333333333333,22.65423406060606,82.20022463636361
118984,STATE - TAMIL NADU,Mining of hard coal,858,822,36,404,396,8,454,426,28,115,93,22,96,78,18,19,15,4,973,22.83333333333333,22.65423406060606,82.20022463636361
118985,STATE - TAMIL NADU,Mining of lignite,5090,4748,342,1095,1035,60,3995,3713,282,225,204,21,172,159,13,53,45,8,5315,13.883040935672517,22.65423406060606,82.20022463636361
118986,STATE - TAMIL NADU,Mining of lignite,5090,4748,342,1095,1035,60,3995,3713,282,225,204,21,172,159,13,53,45,8,5315,13.883040935672517,22.65423406060606,82.20022463636361
118987,STATE - TAMIL NADU,Extraction of crude petroleum and natural gas,458,429,29,230,216,14,228,213,15,21,21,0,3,3,0,18,18,0,479,14.79310344827586,22.65423406060606,82.20022463636361
118988,STATE - TAMIL NADU,Extraction of crude petroleum,202,196,6,89,89,0,113,107,6,6,6,0,3,3,0,3,3,0,208,32.666666666666664,22.65423406060606,82.20022463636361
118989,STATE - TAMIL NADU,Extraction of crude petroleum,202,196,6,89,89,0,113,107,6,6,6,0,3,3,0,3,3,0,208,32.666666666666664,22.65423406060606,82.20022463636361
118990,STATE - TAMIL NADU,Extraction of natural gas,256,233,23,141,127,14,115,106,9,15,15,0,0,0,0,15,15,0,271,10.130434782608695,22.65423406060606,82.20022463636361
118991,STATE - TAMIL NADU,Extraction of natural gas,256,233,23,141,127,14,115,106,9,15,15,0,0,0,0,15,15,0,271,10.130434782608695,22.65423406060606,82.20022463636361
