,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
31626,STATE - MIZORAM,Silviculture and other forestry activities,161,119,42,20,18,2,141,101,40,10,6,4,1,0,1,9,6,3,171,2.833333333333333,22.65423406060606,82.20022463636361
31627,STATE - MIZORAM,Silviculture and other forestry activities,161,119,42,20,18,2,141,101,40,10,6,4,1,0,1,9,6,3,171,2.833333333333333,22.65423406060606,82.20022463636361
31628,STATE - MIZORAM,Logging,244,223,21,161,150,11,83,73,10,100,72,28,65,41,24,35,31,4,344,10.61904761904762,22.65423406060606,82.20022463636361
31629,STATE - MIZORAM,Logging,244,223,21,161,150,11,83,73,10,100,72,28,65,41,24,35,31,4,344,10.61904761904762,22.65423406060606,82.20022463636361
31630,STATE - MIZORAM,Gathering of non-wood forest products,16,14,2,5,5,0,11,9,2,1,1,0,0,0,0,1,1,0,17,7,22.65423406060606,82.20022463636361
31631,STATE - MIZORAM,Gathering of non-wood forest products,16,14,2,5,5,0,11,9,2,1,1,0,0,0,0,1,1,0,17,7,22.65423406060606,82.20022463636361
31632,STATE - MIZORAM,Support services to forestry,1902,1588,314,607,586,21,1295,1002,293,50,34,16,20,13,7,30,21,9,1952,5.057324840764331,22.65423406060606,82.20022463636361
31633,STATE - MIZORAM,Support services to forestry,1902,1588,314,607,586,21,1295,1002,293,50,34,16,20,13,7,30,21,9,1952,5.057324840764331,22.65423406060606,82.20022463636361
31634,STATE - MIZORAM,Fishing and aquaculture,220,187,33,54,51,3,166,136,30,48,42,6,37,31,6,11,11,0,268,5.666666666666667,22.65423406060606,82.20022463636361
31635,STATE - MIZORAM,Fishing,184,159,25,50,47,3,134,112,22,44,39,5,33,28,5,11,11,0,228,6.36,22.65423406060606,82.20022463636361
31636,STATE - MIZORAM,Marine fishing,106,93,13,21,21,0,85,72,13,37,33,4,29,25,4,8,8,0,143,7.153846153846154,22.65423406060606,82.20022463636361
31637,STATE - MIZORAM,Freash water fishing,78,66,12,29,26,3,49,40,9,7,6,1,4,3,1,3,3,0,85,5.5,22.65423406060606,82.20022463636361
31638,STATE - MIZORAM,Aquaculture,36,28,8,4,4,0,32,24,8,4,3,1,4,3,1,0,0,0,40,3.5,22.65423406060606,82.20022463636361
31639,STATE - MIZORAM,Marine aquaculture,7,5,2,1,1,0,6,4,2,0,0,0,0,0,0,0,0,0,7,2.5,22.65423406060606,82.20022463636361
31640,STATE - MIZORAM,Freshwater aquaculture,29,23,6,3,3,0,26,20,6,4,3,1,4,3,1,0,0,0,33,3.8333333333333335,22.65423406060606,82.20022463636361
31641,STATE - MIZORAM,Mining of coal and lignite,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
31642,STATE - MIZORAM,Mining of hard coal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
31643,STATE - MIZORAM,Mining of hard coal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
31644,STATE - MIZORAM,Extraction of crude petroleum and natural gas,126,104,22,2,2,0,124,102,22,12,6,6,0,0,0,12,6,6,138,4.727272727272728,22.65423406060606,82.20022463636361
31645,STATE - MIZORAM,Extraction of crude petroleum,124,102,22,0,0,0,124,102,22,12,6,6,0,0,0,12,6,6,136,4.636363636363637,22.65423406060606,82.20022463636361
31646,STATE - MIZORAM,Extraction of crude petroleum,124,102,22,0,0,0,124,102,22,12,6,6,0,0,0,12,6,6,136,4.636363636363637,22.65423406060606,82.20022463636361
31647,STATE - MIZORAM,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
31648,STATE - MIZORAM,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
31649,STATE - MIZORAM,Other mining and quarrying,998,870,128,151,120,31,847,750,97,217,178,39,18,14,4,199,164,35,1215,6.796875,22.65423406060606,82.20022463636361
31650,STATE - MIZORAM,"Quarrying of stone, sand and clay",737,641,96,93,75,18,644,566,78,147,119,28,12,8,4,135,111,24,884,6.677083333333333,22.65423406060606,82.20022463636361
31651,STATE - MIZORAM,"Quarrying of stone, sand and clay",737,641,96,93,75,18,644,566,78,147,119,28,12,8,4,135,111,24,884,6.677083333333333,22.65423406060606,82.20022463636361
31652,STATE - MIZORAM,Mining and quarrying n.e.c.,261,229,32,58,45,13,203,184,19,70,59,11,6,6,0,64,53,11,331,7.15625,22.65423406060606,82.20022463636361
31653,STATE - MIZORAM,Other mining and quarrying n.e.c.,261,229,32,58,45,13,203,184,19,70,59,11,6,6,0,64,53,11,331,7.15625,22.65423406060606,82.20022463636361
31654,STATE - MIZORAM,Mining support service activities,38,27,11,4,4,0,34,23,11,2,1,1,0,0,0,2,1,1,40,2.4545454545454546,22.65423406060606,82.20022463636361
31655,STATE - MIZORAM,Support activities for petroleum and natural gas mining,8,7,1,4,4,0,4,3,1,0,0,0,0,0,0,0,0,0,8,7,22.65423406060606,82.20022463636361
31656,STATE - MIZORAM,Support activities for petroleum and natural gas mining,8,7,1,4,4,0,4,3,1,0,0,0,0,0,0,0,0,0,8,7,22.65423406060606,82.20022463636361
31657,STATE - MIZORAM,Support activities for other mining and quarrying,30,20,10,0,0,0,30,20,10,2,1,1,0,0,0,2,1,1,32,2,22.65423406060606,82.20022463636361
31658,STATE - MIZORAM,Support activities for other mining and quarrying,30,20,10,0,0,0,30,20,10,2,1,1,0,0,0,2,1,1,32,2,22.65423406060606,82.20022463636361
31659,STATE - MIZORAM,Manufacture of food products,1272,726,546,229,139,90,1043,587,456,435,127,308,79,26,53,356,101,255,1707,1.3296703296703296,22.65423406060606,82.20022463636361
31660,STATE - MIZORAM,Processing and preserving of meat,60,26,34,7,6,1,53,20,33,103,19,84,0,0,0,103,19,84,163,0.7647058823529411,22.65423406060606,82.20022463636361
31661,STATE - MIZORAM,Processing and preserving of meat,60,26,34,7,6,1,53,20,33,103,19,84,0,0,0,103,19,84,163,0.7647058823529411,22.65423406060606,82.20022463636361
31662,STATE - MIZORAM,"Processing and preserving of fish, crustaceans and molluscs",1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,22.65423406060606,82.20022463636361
