,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
32,STATE - RAJASTHAN,Silviculture and other forestry activities,2478,2161,317,1645,1449,196,833,712,121,773,287,486,670,255,415,103,32,71,3251,6.817034700315458,22.65423406060606,82.20022463636361
33,STATE - RAJASTHAN,Silviculture and other forestry activities,2478,2161,317,1645,1449,196,833,712,121,773,287,486,670,255,415,103,32,71,3251,6.817034700315458,22.65423406060606,82.20022463636361
34,STATE - RAJASTHAN,Logging,4216,2824,1392,3539,2288,1251,677,536,141,4120,1359,2761,3685,1268,2417,435,91,344,8336,2.028735632183908,22.65423406060606,82.20022463636361
35,STATE - RAJASTHAN,Logging,4216,2824,1392,3539,2288,1251,677,536,141,4120,1359,2761,3685,1268,2417,435,91,344,8336,2.028735632183908,22.65423406060606,82.20022463636361
36,STATE - RAJASTHAN,Gathering of non-wood forest products,1275,966,309,879,608,271,396,358,38,1111,382,729,1027,351,676,84,31,53,2386,3.1262135922330097,22.65423406060606,82.20022463636361
37,STATE - RAJASTHAN,Gathering of non-wood forest products,1275,966,309,879,608,271,396,358,38,1111,382,729,1027,351,676,84,31,53,2386,3.1262135922330097,22.65423406060606,82.20022463636361
38,STATE - RAJASTHAN,Support services to forestry,8347,7798,549,5425,5069,356,2922,2729,193,498,293,205,435,252,183,63,41,22,8845,14.2040072859745,22.65423406060606,82.20022463636361
39,STATE - RAJASTHAN,Support services to forestry,8347,7798,549,5425,5069,356,2922,2729,193,498,293,205,435,252,183,63,41,22,8845,14.2040072859745,22.65423406060606,82.20022463636361
40,STATE - RAJASTHAN,Fishing and aquaculture,835,790,45,361,327,34,474,463,11,250,225,25,221,196,25,29,29,0,1085,17.555555555555557,22.65423406060606,82.20022463636361
41,STATE - RAJASTHAN,Fishing,406,388,18,183,170,13,223,218,5,176,158,18,158,140,18,18,18,0,582,21.55555555555556,22.65423406060606,82.20022463636361
42,STATE - RAJASTHAN,Marine fishing,241,232,9,122,115,7,119,117,2,125,107,18,125,107,18,0,0,0,366,25.77777777777778,22.65423406060606,82.20022463636361
43,STATE - RAJASTHAN,Freash water fishing,165,156,9,61,55,6,104,101,3,51,51,0,33,33,0,18,18,0,216,17.333333333333332,22.65423406060606,82.20022463636361
44,STATE - RAJASTHAN,Aquaculture,429,402,27,178,157,21,251,245,6,74,67,7,63,56,7,11,11,0,503,14.88888888888889,22.65423406060606,82.20022463636361
45,STATE - RAJASTHAN,Marine aquaculture,135,125,10,63,59,4,72,66,6,16,15,1,16,15,1,0,0,0,151,12.5,22.65423406060606,82.20022463636361
46,STATE - RAJASTHAN,Freshwater aquaculture,294,277,17,115,98,17,179,179,0,58,52,6,47,41,6,11,11,0,352,16.294117647058822,22.65423406060606,82.20022463636361
47,STATE - RAJASTHAN,Mining of coal and lignite,856,771,85,692,612,80,164,159,5,378,193,185,367,184,183,11,9,2,1234,9.070588235294116,22.65423406060606,82.20022463636361
48,STATE - RAJASTHAN,Mining of hard coal,343,322,21,263,245,18,80,77,3,142,103,39,140,103,37,2,0,2,485,15.333333333333334,22.65423406060606,82.20022463636361
49,STATE - RAJASTHAN,Mining of hard coal,343,322,21,263,245,18,80,77,3,142,103,39,140,103,37,2,0,2,485,15.333333333333334,22.65423406060606,82.20022463636361
50,STATE - RAJASTHAN,Mining of lignite,513,449,64,429,367,62,84,82,2,236,90,146,227,81,146,9,9,0,749,7.015625,22.65423406060606,82.20022463636361
51,STATE - RAJASTHAN,Mining of lignite,513,449,64,429,367,62,84,82,2,236,90,146,227,81,146,9,9,0,749,7.015625,22.65423406060606,82.20022463636361
52,STATE - RAJASTHAN,Extraction of crude petroleum and natural gas,366,345,21,267,261,6,99,84,15,77,71,6,74,71,3,3,0,3,443,16.428571428571427,22.65423406060606,82.20022463636361
53,STATE - RAJASTHAN,Extraction of crude petroleum,332,316,16,263,259,4,69,57,12,73,67,6,70,67,3,3,0,3,405,19.75,22.65423406060606,82.20022463636361
54,STATE - RAJASTHAN,Extraction of crude petroleum,332,316,16,263,259,4,69,57,12,73,67,6,70,67,3,3,0,3,405,19.75,22.65423406060606,82.20022463636361
55,STATE - RAJASTHAN,Extraction of natural gas,34,29,5,4,2,2,30,27,3,4,4,0,4,4,0,0,0,0,38,5.8,22.65423406060606,82.20022463636361
56,STATE - RAJASTHAN,Extraction of natural gas,34,29,5,4,2,2,30,27,3,4,4,0,4,4,0,0,0,0,38,5.8,22.65423406060606,82.20022463636361
57,STATE - RAJASTHAN,Mining of metal ores,3726,3612,114,2299,2256,43,1427,1356,71,173,152,21,146,125,21,27,27,0,3899,31.68421052631579,22.65423406060606,82.20022463636361
58,STATE - RAJASTHAN,Mining of non-ferrous metal ores,3450,3336,114,2126,2083,43,1324,1253,71,159,145,14,132,118,14,27,27,0,3609,29.26315789473684,22.65423406060606,82.20022463636361
59,STATE - RAJASTHAN,Mining of other non-ferrous metal ores,3450,3336,114,2126,2083,43,1324,1253,71,159,145,14,132,118,14,27,27,0,3609,29.26315789473684,22.65423406060606,82.20022463636361
60,STATE - RAJASTHAN,Mining of chemical and fertilizer minerals,246,233,13,147,136,11,99,97,2,72,50,22,61,39,22,11,11,0,318,17.923076923076923,22.65423406060606,82.20022463636361
61,STATE - RAJASTHAN,Extraction and agglomeration of peat,1098,953,145,835,700,135,263,253,10,237,147,90,176,106,70,61,41,20,1335,6.572413793103448,22.65423406060606,82.20022463636361
62,STATE - RAJASTHAN,Extraction of salt,4638,4193,445,3543,3268,275,1095,925,170,1175,840,335,1009,702,307,166,138,28,5813,9.42247191011236,22.65423406060606,82.20022463636361
63,STATE - RAJASTHAN,Mining support service activities,6599,6013,586,5112,4660,452,1487,1353,134,1259,1018,241,1147,924,223,112,94,18,7858,10.261092150170647,22.65423406060606,82.20022463636361
64,STATE - RAJASTHAN,Support activities for petroleum and natural gas mining,232,219,13,170,157,13,62,62,0,29,28,1,29,28,1,0,0,0,261,16.846153846153847,22.65423406060606,82.20022463636361
65,STATE - RAJASTHAN,Support activities for petroleum and natural gas mining,232,219,13,170,157,13,62,62,0,29,28,1,29,28,1,0,0,0,261,16.846153846153847,22.65423406060606,82.20022463636361
66,STATE - RAJASTHAN,Support activities for other mining and quarrying,6367,5794,573,4942,4503,439,1425,1291,134,1230,990,240,1118,896,222,112,94,18,7597,10.11169284467714,22.65423406060606,82.20022463636361
67,STATE - RAJASTHAN,Support activities for other mining and quarrying,6367,5794,573,4942,4503,439,1425,1291,134,1230,990,240,1118,896,222,112,94,18,7597,10.11169284467714,22.65423406060606,82.20022463636361
68,STATE - RAJASTHAN,Processing and preserving of meat,1631,1234,397,994,723,271,637,511,126,446,214,232,394,191,203,52,23,29,2077,3.1083123425692696,22.65423406060606,82.20022463636361
69,STATE - RAJASTHAN,Processing and preserving of meat,1631,1234,397,994,723,271,637,511,126,446,214,232,394,191,203,52,23,29,2077,3.1083123425692696,22.65423406060606,82.20022463636361
70,STATE - RAJASTHAN,"Processing and preserving of fish, crustaceans and molluscs",247,233,14,97,86,11,150,147,3,54,46,8,49,46,3,5,0,5,301,16.642857142857142,22.65423406060606,82.20022463636361
71,STATE - RAJASTHAN,"Processing and preserving of fish, crustaceans and molluscs and",247,233,14,97,86,11,150,147,3,54,46,8,49,46,3,5,0,5,301,16.642857142857142,22.65423406060606,82.20022463636361
72,STATE - RAJASTHAN,Processing and preserving of fruit and vegetables,5662,4825,837,1631,1371,260,4031,3454,577,1300,661,639,817,375,442,483,286,197,6962,5.764635603345281,22.65423406060606,82.20022463636361
73,STATE - RAJASTHAN,Processing and preserving of fruit and vegetables,5662,4825,837,1631,1371,260,4031,3454,577,1300,661,639,817,375,442,483,286,197,6962,5.764635603345281,22.65423406060606,82.20022463636361
74,STATE - RAJASTHAN,Manufacture of vegetable and animal oils and fats,10907,10243,664,5826,5427,399,5081,4816,265,1576,1228,348,1112,840,272,464,388,76,12483,15.426204819277109,22.65423406060606,82.20022463636361
