,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
26872,STATE - MANIPUR,Forestry and logging,2559,2209,350,1570,1389,181,989,820,169,830,524,306,733,465,268,97,59,38,3389,6.311428571428571,22.65423406060606,82.20022463636361
26873,STATE - MANIPUR,Silviculture and other forestry activities,277,219,58,100,80,20,177,139,38,24,24,0,24,24,0,0,0,0,301,3.775862068965517,22.65423406060606,82.20022463636361
26874,STATE - MANIPUR,Silviculture and other forestry activities,277,219,58,100,80,20,177,139,38,24,24,0,24,24,0,0,0,0,301,3.775862068965517,22.65423406060606,82.20022463636361
26875,STATE - MANIPUR,Logging,1020,906,114,873,769,104,147,137,10,736,444,292,653,393,260,83,51,32,1756,7.947368421052632,22.65423406060606,82.20022463636361
26876,STATE - MANIPUR,Logging,1020,906,114,873,769,104,147,137,10,736,444,292,653,393,260,83,51,32,1756,7.947368421052632,22.65423406060606,82.20022463636361
26877,STATE - MANIPUR,Gathering of non-wood forest products,8,8,0,8,8,0,0,0,0,2,2,0,2,2,0,0,0,0,10,8,22.65423406060606,82.20022463636361
26878,STATE - MANIPUR,Gathering of non-wood forest products,8,8,0,8,8,0,0,0,0,2,2,0,2,2,0,0,0,0,10,8,22.65423406060606,82.20022463636361
26879,STATE - MANIPUR,Support services to forestry,1254,1076,178,589,532,57,665,544,121,68,54,14,54,46,8,14,8,6,1322,6.044943820224719,22.65423406060606,82.20022463636361
26880,STATE - MANIPUR,Support services to forestry,1254,1076,178,589,532,57,665,544,121,68,54,14,54,46,8,14,8,6,1322,6.044943820224719,22.65423406060606,82.20022463636361
26881,STATE - MANIPUR,Fishing and aquaculture,8499,7725,774,6976,6409,567,1523,1316,207,911,709,202,658,511,147,253,198,55,9410,9.98062015503876,22.65423406060606,82.20022463636361
26882,STATE - MANIPUR,Fishing,7039,6487,552,5970,5542,428,1069,945,124,752,610,142,585,468,117,167,142,25,7791,11.751811594202898,22.65423406060606,82.20022463636361
26883,STATE - MANIPUR,Marine fishing,2733,2513,220,2239,2077,162,494,436,58,164,102,62,118,65,53,46,37,9,2897,11.422727272727272,22.65423406060606,82.20022463636361
26884,STATE - MANIPUR,Freash water fishing,4306,3974,332,3731,3465,266,575,509,66,588,508,80,467,403,64,121,105,16,4894,11.96987951807229,22.65423406060606,82.20022463636361
26885,STATE - MANIPUR,Aquaculture,1460,1238,222,1006,867,139,454,371,83,159,99,60,73,43,30,86,56,30,1619,5.576576576576577,22.65423406060606,82.20022463636361
26886,STATE - MANIPUR,Marine aquaculture,76,57,19,54,48,6,22,9,13,0,0,0,0,0,0,0,0,0,76,3,22.65423406060606,82.20022463636361
26887,STATE - MANIPUR,Freshwater aquaculture,1384,1181,203,952,819,133,432,362,70,159,99,60,73,43,30,86,56,30,1543,5.817733990147783,22.65423406060606,82.20022463636361
26888,STATE - MANIPUR,Mining of coal and lignite,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
26889,STATE - MANIPUR,Mining of hard coal,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22.65423406060606,82.20022463636361
