,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
20362,STATE - ARUNACHAL PRADESH,Seed processing for propagation,9,9,0,8,8,0,1,1,0,0,0,0,0,0,0,0,0,0,9,9,22.65423406060606,82.20022463636361
20363,STATE - ARUNACHAL PRADESH,"Hunting, trapping and related service activities",6,6,0,5,5,0,1,1,0,18,18,0,18,18,0,0,0,0,24,6,22.65423406060606,82.20022463636361
20364,STATE - ARUNACHAL PRADESH,"Hunting, trapping and related service activities",6,6,0,5,5,0,1,1,0,18,18,0,18,18,0,0,0,0,24,6,22.65423406060606,82.20022463636361
20365,STATE - ARUNACHAL PRADESH,Forestry and logging,3473,2712,761,1667,1398,269,1806,1314,492,267,166,101,198,135,63,69,31,38,3740,3.563731931668857,22.65423406060606,82.20022463636361
20366,STATE - ARUNACHAL PRADESH,Silviculture and other forestry activities,207,146,61,70,58,12,137,88,49,8,6,2,6,4,2,2,2,0,215,2.39344262295082,22.65423406060606,82.20022463636361
20367,STATE - ARUNACHAL PRADESH,Silviculture and other forestry activities,207,146,61,70,58,12,137,88,49,8,6,2,6,4,2,2,2,0,215,2.39344262295082,22.65423406060606,82.20022463636361
20368,STATE - ARUNACHAL PRADESH,Logging,206,197,9,164,157,7,42,40,2,98,76,22,87,72,15,11,4,7,304,21.88888888888889,22.65423406060606,82.20022463636361
20369,STATE - ARUNACHAL PRADESH,Logging,206,197,9,164,157,7,42,40,2,98,76,22,87,72,15,11,4,7,304,21.88888888888889,22.65423406060606,82.20022463636361
20370,STATE - ARUNACHAL PRADESH,Gathering of non-wood forest products,71,63,8,56,54,2,15,9,6,5,5,0,3,3,0,2,2,0,76,7.875,22.65423406060606,82.20022463636361
20371,STATE - ARUNACHAL PRADESH,Gathering of non-wood forest products,71,63,8,56,54,2,15,9,6,5,5,0,3,3,0,2,2,0,76,7.875,22.65423406060606,82.20022463636361
20372,STATE - ARUNACHAL PRADESH,Support services to forestry,2989,2306,683,1377,1129,248,1612,1177,435,156,79,77,102,56,46,54,23,31,3145,3.376281112737921,22.65423406060606,82.20022463636361
20373,STATE - ARUNACHAL PRADESH,Support services to forestry,2989,2306,683,1377,1129,248,1612,1177,435,156,79,77,102,56,46,54,23,31,3145,3.376281112737921,22.65423406060606,82.20022463636361
20374,STATE - ARUNACHAL PRADESH,Fishing and aquaculture,275,257,18,116,106,10,159,151,8,83,74,9,75,66,9,8,8,0,358,14.27777777777778,22.65423406060606,82.20022463636361
20375,STATE - ARUNACHAL PRADESH,Fishing,240,225,15,92,84,8,148,141,7,76,68,8,68,60,8,8,8,0,316,15,22.65423406060606,82.20022463636361
20376,STATE - ARUNACHAL PRADESH,Marine fishing,110,100,10,56,51,5,54,49,5,11,11,0,7,7,0,4,4,0,121,10,22.65423406060606,82.20022463636361
20377,STATE - ARUNACHAL PRADESH,Freash water fishing,130,125,5,36,33,3,94,92,2,65,57,8,61,53,8,4,4,0,195,25,22.65423406060606,82.20022463636361
20378,STATE - ARUNACHAL PRADESH,Aquaculture,35,32,3,24,22,2,11,10,1,7,6,1,7,6,1,0,0,0,42,10.666666666666666,22.65423406060606,82.20022463636361
20379,STATE - ARUNACHAL PRADESH,Marine aquaculture,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,22.65423406060606,82.20022463636361
