,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
179535,STATE - ODISHA,Forestry and logging,9314,6238,3076,8385,5607,2778,929,631,298,17613,5238,12375,17112,5099,12013,501,139,362,26927,2.027958387516255,22.65423406060606,82.20022463636361
179536,STATE - ODISHA,Silviculture and other forestry activities,894,606,288,817,557,260,77,49,28,1551,697,854,1501,682,819,50,15,35,2445,2.1041666666666665,22.65423406060606,82.20022463636361
179537,STATE - ODISHA,Silviculture and other forestry activities,894,606,288,817,557,260,77,49,28,1551,697,854,1501,682,819,50,15,35,2445,2.1041666666666665,22.65423406060606,82.20022463636361
179538,STATE - ODISHA,Logging,4898,3224,1674,4430,2948,1482,468,276,192,6326,2483,3843,5971,2391,3580,355,92,263,11224,1.9259259259259256,22.65423406060606,82.20022463636361
179539,STATE - ODISHA,Logging,4898,3224,1674,4430,2948,1482,468,276,192,6326,2483,3843,5971,2391,3580,355,92,263,11224,1.9259259259259256,22.65423406060606,82.20022463636361
179540,STATE - ODISHA,Gathering of non-wood forest products,2061,1112,949,1972,1058,914,89,54,35,9317,1795,7522,9240,1776,7464,77,19,58,11378,1.1717597471022128,22.65423406060606,82.20022463636361
179541,STATE - ODISHA,Gathering of non-wood forest products,2061,1112,949,1972,1058,914,89,54,35,9317,1795,7522,9240,1776,7464,77,19,58,11378,1.1717597471022128,22.65423406060606,82.20022463636361
179542,STATE - ODISHA,Support services to forestry,1461,1296,165,1166,1044,122,295,252,43,419,263,156,400,250,150,19,13,6,1880,7.8545454545454545,22.65423406060606,82.20022463636361
179543,STATE - ODISHA,Support services to forestry,1461,1296,165,1166,1044,122,295,252,43,419,263,156,400,250,150,19,13,6,1880,7.8545454545454545,22.65423406060606,82.20022463636361
179544,STATE - ODISHA,Fishing and aquaculture,2358,2098,260,2285,2045,240,73,53,20,1076,675,401,1055,657,398,21,18,3,3434,8.069230769230769,22.65423406060606,82.20022463636361
179545,STATE - ODISHA,Fishing,2125,1890,235,2072,1849,223,53,41,12,934,575,359,919,561,358,15,14,1,3059,8.042553191489361,22.65423406060606,82.20022463636361
179546,STATE - ODISHA,Marine fishing,1130,1012,118,1120,1002,118,10,10,0,616,348,268,614,346,268,2,2,0,1746,8.576271186440678,22.65423406060606,82.20022463636361
179547,STATE - ODISHA,Freash water fishing,995,878,117,952,847,105,43,31,12,318,227,91,305,215,90,13,12,1,1313,7.504273504273504,22.65423406060606,82.20022463636361
179548,STATE - ODISHA,Aquaculture,233,208,25,213,196,17,20,12,8,142,100,42,136,96,40,6,4,2,375,8.32,22.65423406060606,82.20022463636361
179549,STATE - ODISHA,Marine aquaculture,74,68,6,68,62,6,6,6,0,62,38,24,62,38,24,0,0,0,136,11.333333333333334,22.65423406060606,82.20022463636361
179550,STATE - ODISHA,Freshwater aquaculture,159,140,19,145,134,11,14,6,8,80,62,18,74,58,16,6,4,2,239,7.368421052631579,22.65423406060606,82.20022463636361
179551,STATE - ODISHA,Mining of coal and lignite,3563,3137,426,2167,1891,276,1396,1246,150,511,385,126,451,341,110,60,44,16,4074,7.363849765258216,22.65423406060606,82.20022463636361
179552,STATE - ODISHA,Mining of hard coal,3511,3089,422,2115,1843,272,1396,1246,150,503,379,124,443,335,108,60,44,16,4014,7.319905213270142,22.65423406060606,82.20022463636361
179553,STATE - ODISHA,Mining of hard coal,3511,3089,422,2115,1843,272,1396,1246,150,503,379,124,443,335,108,60,44,16,4014,7.319905213270142,22.65423406060606,82.20022463636361
179554,STATE - ODISHA,Mining of lignite,52,48,4,52,48,4,0,0,0,8,6,2,8,6,2,0,0,0,60,12,22.65423406060606,82.20022463636361
179555,STATE - ODISHA,Mining of lignite,52,48,4,52,48,4,0,0,0,8,6,2,8,6,2,0,0,0,60,12,22.65423406060606,82.20022463636361
179556,STATE - ODISHA,Extraction of crude petroleum and natural gas,14,12,2,10,8,2,4,4,0,6,4,2,6,4,2,0,0,0,20,6,22.65423406060606,82.20022463636361
179557,STATE - ODISHA,Extraction of crude petroleum,12,10,2,8,6,2,4,4,0,6,4,2,6,4,2,0,0,0,18,5,22.65423406060606,82.20022463636361
179558,STATE - ODISHA,Extraction of crude petroleum,12,10,2,8,6,2,4,4,0,6,4,2,6,4,2,0,0,0,18,5,22.65423406060606,82.20022463636361
179559,STATE - ODISHA,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
179560,STATE - ODISHA,Extraction of natural gas,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
179561,STATE - ODISHA,Mining of metal ores,15320,11482,3838,13262,9934,3328,2058,1548,510,3794,2513,1281,3470,2303,1167,324,210,114,19114,2.9916623241271494,22.65423406060606,82.20022463636361
179562,STATE - ODISHA,Mining of iron ores,12834,9660,3174,10930,8218,2712,1904,1442,462,3289,2177,1112,2995,1981,1014,294,196,98,16123,3.0434782608695654,22.65423406060606,82.20022463636361
179563,STATE - ODISHA,Mining of iron ores,12834,9660,3174,10930,8218,2712,1904,1442,462,3289,2177,1112,2995,1981,1014,294,196,98,16123,3.0434782608695654,22.65423406060606,82.20022463636361
179564,STATE - ODISHA,Mining of non-ferrous metal ores,2486,1822,664,2332,1716,616,154,106,48,505,336,169,475,322,153,30,14,16,2991,2.7439759036144578,22.65423406060606,82.20022463636361
179565,STATE - ODISHA,Mining of uranium and thorium ores,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,22.65423406060606,82.20022463636361
179566,STATE - ODISHA,Mining of other non-ferrous metal ores,2484,1822,662,2332,1716,616,152,106,46,505,336,169,475,322,153,30,14,16,2989,2.7522658610271904,22.65423406060606,82.20022463636361
179567,STATE - ODISHA,Other mining and quarrying,30051,21928,8123,27118,19737,7381,2933,2191,742,13325,7952,5373,12823,7640,5183,502,312,190,43376,2.699495260371784,22.65423406060606,82.20022463636361
179568,STATE - ODISHA,"Quarrying of stone, sand and clay",23297,16655,6642,21329,15223,6106,1968,1432,536,10662,6189,4473,10354,5995,4359,308,194,114,33959,2.5075278530563083,22.65423406060606,82.20022463636361
179569,STATE - ODISHA,"Quarrying of stone, sand and clay",23297,16655,6642,21329,15223,6106,1968,1432,536,10662,6189,4473,10354,5995,4359,308,194,114,33959,2.5075278530563083,22.65423406060606,82.20022463636361
179570,STATE - ODISHA,Mining and quarrying n.e.c.,6754,5273,1481,5789,4514,1275,965,759,206,2663,1763,900,2469,1645,824,194,118,76,9417,3.560432140445645,22.65423406060606,82.20022463636361
179571,STATE - ODISHA,Mining of chemical and fertilizer minerals,6,4,2,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,6,2,22.65423406060606,82.20022463636361
179572,STATE - ODISHA,Extraction and agglomeration of peat,30,30,0,22,22,0,8,8,0,12,8,4,8,6,2,4,2,2,42,30,22.65423406060606,82.20022463636361
179573,STATE - ODISHA,Extraction of salt,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,22.65423406060606,82.20022463636361
179574,STATE - ODISHA,Other mining and quarrying n.e.c.,6716,5237,1479,5765,4490,1275,951,747,204,2651,1755,896,2461,1639,822,190,116,74,9367,3.5409060175794456,22.65423406060606,82.20022463636361
179575,STATE - ODISHA,Mining support service activities,2270,1792,478,1752,1406,346,518,386,132,824,532,292,740,486,254,84,46,38,3094,3.7489539748953975,22.65423406060606,82.20022463636361
179576,STATE - ODISHA,Support activities for petroleum and natural gas mining,8,6,2,6,4,2,2,2,0,2,0,2,2,0,2,0,0,0,10,3,22.65423406060606,82.20022463636361
179577,STATE - ODISHA,Support activities for petroleum and natural gas mining,8,6,2,6,4,2,2,2,0,2,0,2,2,0,2,0,0,0,10,3,22.65423406060606,82.20022463636361
179578,STATE - ODISHA,Support activities for other mining and quarrying,2262,1786,476,1746,1402,344,516,384,132,822,532,290,738,486,252,84,46,38,3084,3.7521008403361344,22.65423406060606,82.20022463636361
179579,STATE - ODISHA,Support activities for other mining and quarrying,2262,1786,476,1746,1402,344,516,384,132,822,532,290,738,486,252,84,46,38,3084,3.7521008403361344,22.65423406060606,82.20022463636361
179580,STATE - ODISHA,Manufacture of food products,9101,6304,2797,7410,5140,2270,1691,1164,527,7163,3148,4015,6603,2845,3758,560,303,257,16264,2.2538434036467643,22.65423406060606,82.20022463636361
179581,STATE - ODISHA,Processing and preserving of meat,148,110,38,108,76,32,40,34,6,113,66,47,105,60,45,8,6,2,261,2.8947368421052637,22.65423406060606,82.20022463636361
179582,STATE - ODISHA,Processing and preserving of meat,148,110,38,108,76,32,40,34,6,113,66,47,105,60,45,8,6,2,261,2.8947368421052637,22.65423406060606,82.20022463636361
179583,STATE - ODISHA,"Processing and preserving of fish, crustaceans and molluscs",158,98,60,133,81,52,25,17,8,54,27,27,54,27,27,0,0,0,212,1.6333333333333333,22.65423406060606,82.20022463636361
179584,STATE - ODISHA,"Processing and preserving of fish, crustaceans and molluscs and",158,98,60,133,81,52,25,17,8,54,27,27,54,27,27,0,0,0,212,1.6333333333333333,22.65423406060606,82.20022463636361
179585,STATE - ODISHA,Processing and preserving of fruit and vegetables,125,62,63,95,44,51,30,18,12,134,51,83,92,33,59,42,18,24,259,0.984126984126984,22.65423406060606,82.20022463636361
179586,STATE - ODISHA,Processing and preserving of fruit and vegetables,125,62,63,95,44,51,30,18,12,134,51,83,92,33,59,42,18,24,259,0.984126984126984,22.65423406060606,82.20022463636361
179587,STATE - ODISHA,Manufacture of vegetable and animal oils and fats,129,110,19,123,106,17,6,4,2,29,16,13,29,16,13,0,0,0,158,5.789473684210527,22.65423406060606,82.20022463636361
