,IndiaStates,NIC_Name,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
144740,STATE - UTTAR PRADESH,Support services to forestry,154,148,6,138,134,4,16,14,2,33,22,11,31,20,11,2,2,0,187,24.666666666666668,22.65423406060606,82.20022463636361
144741,STATE - UTTAR PRADESH,Support services to forestry,154,148,6,138,134,4,16,14,2,33,22,11,31,20,11,2,2,0,187,24.666666666666668,22.65423406060606,82.20022463636361
144742,STATE - UTTAR PRADESH,Fishing and aquaculture,57,42,15,43,28,15,14,14,0,16,13,3,12,11,1,4,2,2,73,2.8,22.65423406060606,82.20022463636361
144743,STATE - UTTAR PRADESH,Fishing,26,14,12,24,12,12,2,2,0,5,3,2,3,3,0,2,0,2,31,1.1666666666666667,22.65423406060606,82.20022463636361
144744,STATE - UTTAR PRADESH,Marine fishing,11,7,4,11,7,4,0,0,0,3,1,2,1,1,0,2,0,2,14,1.75,22.65423406060606,82.20022463636361
144745,STATE - UTTAR PRADESH,Freash water fishing,15,7,8,13,5,8,2,2,0,2,2,0,2,2,0,0,0,0,17,0.875,22.65423406060606,82.20022463636361
144746,STATE - UTTAR PRADESH,Aquaculture,31,28,3,19,16,3,12,12,0,11,10,1,9,8,1,2,2,0,42,9.333333333333334,22.65423406060606,82.20022463636361
144747,STATE - UTTAR PRADESH,Marine aquaculture,5,5,0,5,5,0,0,0,0,7,6,1,5,4,1,2,2,0,12,5,22.65423406060606,82.20022463636361
144748,STATE - UTTAR PRADESH,Freshwater aquaculture,26,23,3,14,11,3,12,12,0,4,4,0,4,4,0,0,0,0,30,7.666666666666667,22.65423406060606,82.20022463636361
144749,STATE - UTTAR PRADESH,Mining of coal and lignite,216,207,9,161,154,7,55,53,2,33,32,1,25,24,1,8,8,0,249,23,22.65423406060606,82.20022463636361
144750,STATE - UTTAR PRADESH,Mining of hard coal,191,182,9,136,129,7,55,53,2,32,32,0,24,24,0,8,8,0,223,20.22222222222222,22.65423406060606,82.20022463636361
144751,STATE - UTTAR PRADESH,Mining of hard coal,191,182,9,136,129,7,55,53,2,32,32,0,24,24,0,8,8,0,223,20.22222222222222,22.65423406060606,82.20022463636361
144752,STATE - UTTAR PRADESH,Mining of lignite,25,25,0,25,25,0,0,0,0,1,0,1,1,0,1,0,0,0,26,25,22.65423406060606,82.20022463636361
144753,STATE - UTTAR PRADESH,Mining of lignite,25,25,0,25,25,0,0,0,0,1,0,1,1,0,1,0,0,0,26,25,22.65423406060606,82.20022463636361
144754,STATE - UTTAR PRADESH,Other mining and quarrying,2452,2237,215,2306,2107,199,146,130,16,1165,989,176,1057,907,150,108,82,26,3617,10.404651162790698,22.65423406060606,82.20022463636361
